account_id,account_type,region,abc_segment,revenue_target,revenue_actual,target_achievement_pct,yoy_growth_pct,opportunity_score,dormancy_risk,active_clients_irs,last_visit_days,dealer_health_score,visit_cadence_per_qtr,open_actions,last_purchase_month,mom_sales_growth_pct
IR1011,IR,Central,C,79327,69449,-12.5,-16,89,4,223,48,49,4,4,Jul 2025,-1.4
IR1012,IR,South,C,60965,191616,214.3,11,25,45,63,88,46,3,13,May 2025,2.9
IR1013,IR,North,A,212702,111030,-47.8,-5,40,22,235,53,87,3,13,Jun 2025,-0.7
IR1014,IR,West,A,260301,160111,-38.5,-1,40,100,189,14,94,4,7,Dec 2024,-22.1
IR1015,IR,South,B,102316,271331,165.2,9,59,29,67,4,61,3,2,Jul 2025,6.4
IR1016,IR,Central,B,252722,176341,-30.2,9,85,51,183,108,41,1,8,Jun 2025,1.8
IR1017,IR,East,B,96810,169180,74.8,-31,33,76,121,45,78,5,3,Mar 2025,-10.4
IR1018,IR,Central,C,150976,129656,-14.1,-3,25,90,121,1,83,2,11,Jan 2025,-17.6
IR1019,IR,North,C,163062,66686,-59.1,7,99,40,179,109,59,5,9,May 2025,0.5
IR1020,IR,South,A,224821,244115,8.6,6,71,89,85,71,66,4,5,Jan 2025,-14.8
IR1021,IR,South,B,211353,187784,-11.2,16,90,0,87,37,90,5,10,Jul 2025,8.7
IR1022,IR,South,C,171893,261623,52.2,21,47,65,131,102,45,3,10,Apr 2025,3.4
IR1023,IR,North,A,74480,153138,105.6,4,48,25,47,4,70,5,2,Jun 2025,2.2
IR1024,IR,West,B,169384,247286,46,38,44,91,188,50,55,2,0,Jan 2025,-15.9
IR1025,IR,Central,B,284005,85882,-69.8,19,48,22,215,90,43,5,7,Jul 2025,5.8
IR1026,IR,Central,C,290509,93626,-67.8,23,37,59,180,68,60,4,13,Apr 2025,-3.7
IR1027,IR,West,B,267728,317242,18.5,22,40,95,230,61,88,2,8,Dec 2024,-18.4
IR1028,IR,North,C,250753,303311,21,27,100,30,80,57,58,2,8,May 2025,4.6
IR1029,IR,West,C,138040,197619,43.2,34,30,17,48,30,49,2,2,Jul 2025,7.9
